School,brglm_cauchit_15,brglm_cauchit_15_rank,brglm_cauchit_inf,brglm_cauchit_inf_rank,glm_cauchit,glm_cauchit_rank,brglm_cauchit,brglm_cauchit_rank,NET
TENN. TECH,-2.812131968,331,-2.810401233,331,-2.731747984,332,-2.817136606,331,331
TENNESSEE,2.43554537,65,2.44432521,65,2.643044404,65,2.339934696,65,63
TENNESSEE ST.,-1.151899437,241,-1.149277848,241,-1.056002645,241,-1.169323395,240,270
TEXAS,2.986786199,41,2.996265989,41,3.207731293,41,2.882503778,41,70
TEXAS A&M,2.395866539,68,2.405007934,67,2.610161127,66,2.295717898,68,113
TEXAS A&M-CC,-1.671200242,280,-1.668966131,280,-1.582604567,280,-1.683408332,279,314
TEXAS SO.,-1.206467345,245,-1.203685565,245,-1.107042153,245,-1.225512467,247,276
TEXAS ST.,0.596096801,137,0.60014929,137,0.716676745,138,0.560191613,136,120
TEXAS TECH,2.901693189,46,2.911280685,46,3.124710346,47,2.796084623,46,22
THE CITADEL,-3.401666665,337,-3.400002195,337,-3.321214876,337,-3.405710111,337,339
TOLEDO,0.217912456,153,0.222722875,153,0.350161552,153,0.172337655,153,137
TOWSON,0.290202522,152,0.294510011,152,0.411588824,152,0.250565921,152,154
TROY,-2.262344611,316,-2.260056878,316,-2.172435228,316,-2.27503085,316,274
TULANE,0.083147376,161,0.088553211,161,0.213110311,160,0.029789962,163,168
TULSA,2.396640832,66,2.4055556,66,2.606316594,67,2.299376072,67,78
UAB,-0.248159313,183,-0.244387558,183,-0.134538264,183,-0.280602067,183,205
UC DAVIS,-0.685222305,213,-0.681330918,213,-0.56586216,211,-0.71877473,213,218
UC IRVINE,0.34950062,149,0.354032553,149,0.479620389,149,0.307682954,149,114
UC RIVERSIDE,-0.72713956,215,-0.723519511,215,-0.612770343,214,-0.757261899,216,210
UCF,1.433736745,103,1.441461577,103,1.622205132,103,1.35151686,103,124
